Comments,Ratings,Genre,Gross,Budget,Screens,Sequel,Sentiment,Views,Likes,Dislikes,Aggregate Followers
0,6.1,3,275000,8932779.93,6,1,0,8210,6,0,58900
797,6.7,8,8090000,20000000,645,1,1,1167941,2651,82,
4316,8.7,2,188000000,165000000,3561,1,2,5421705,16635,751,1865000
3058,5.8,1,47600000,50000000,3434,1,0,4270410,8886,569,301000
346,6,2,128000000,50000000,2440,1,-4,817242,4391,112,4720000
1,6.9,15,14700000,2000000,4,1,-9,4877,6,1,
1105,6.2,1,50500000,60000000,3387,5,4,3320754,4322,347,147000
543,6.9,9,47000000,40000000,2905,1,10,1438350,4028,133,27323
2732,7.2,1,43000000,20000000,2589,1,0,4846645,14722,405,
1119,7,9,2450000,5000000,374,1,0,3650720,6917,234,1045200
6946,7.8,1,128000000,81000000,3204,1,0,2767873,46023,944,5407000
9,6.5,1,129000,25000000,28,1,-2,289922,143,17,
7595,3.1,1,14000000,16000000,1825,1,0,5611593,11187,2111,116800
909,6.5,8,82400000,17000000,1534,1,-5,4450824,7315,546,2356000
335,5.7,8,8300,2400000,,1,0,1222921,5553,193,1463000
2,4.8,7,2470,300000,3,1,0,30529,18,4,18100
311,6.4,1,127000000,40000000,3173,1,1,1142964,2346,167,
464,7,1,241000000,180000000,3948,1,0,557012,3528,135,5633
71,6.3,8,348000,15000000,66,1,0,177465,595,39,644000
511,7.1,9,36400000,25000000,3019,1,27,1470438,4314,168,130000
44,5.4,8,10400000,5000000,1044,1,0,667852,469,38,919000
88,6.9,12,112000000,145000000,3934,1,13,277848,890,45,8839043
1061,6.5,2,51200000,50000000,3194,3,-1,3037329,6696,564,9850000
45,6.3,8,4010000,5000000,255,1,0,446576,659,50,
2305,6.6,1,43600000,66000000,3115,1,5,1451649,7342,533,2594000
693,6.4,8,150000000,18000000,3279,1,2,2554307,8722,298,14240000
1221,6.3,2,114000000,127000000,22,3,2,3779254,13535,362,6480000
2170,7.9,10,32300000,8500000,2766,1,-1,6082510,12522,543,
387,5.6,10,52500000,13200000,2130,1,0,608230,895,118,1550500
18077,5.9,1,101000000,125000000,3567,1,6,13661095,41254,3812,1810000
37,7,1,91400000,50000000,3090,1,0,367551,700,19,648786
24919,5.2,8,35700,600000,,1,0,5403836,187162,3145,2720000
4926,4.4,15,50800000,5000000,2061,1,-4,11724815,30208,2150,130000
665,7.2,8,76100000,55000000,3303,1,14,2028767,3829,500,124000
85,5,15,32500000,5000000,2867,1,0,105480,352,45,11444
226,6.8,12,83300000,132000000,32,1,8,1223790,2934,123,47200
626,5.9,12,59200000,50000000,3826,3,0,2117798,2124,485,3603000
267,5.6,1,23200000,100000000,2658,1,0,355563,1568,106,370000
2195,6.1,1,134000000,25000000,2663,1,0,8429023,27484,977,21586000
1151,6.4,12,132000000,103000000,3948,2,4,3849768,9783,704,154400
4319,6.2,1,58600000,100000000,3372,1,7,3305047,11733,1077,250000
632,6.6,9,3090000,5000000,371,1,1,909596,2214,186,
432,7.5,8,37400,5000000,,1,0,827239,3221,89,217000
977,5.7,1,10500000,35000000,2486,1,17,3466458,6096,411,3678000
4973,7.5,9,52100000,20000000,2179,1,-5,3743181,16782,565,9224
1074,5.4,3,176000,30000000,59,1,0,3726728,6221,405,
5,5.5,1,17200000,95000000,2875,1,0,23360,36,5,804300
251,5.1,8,38500000,40000000,3062,1,0,2757667,3030,418,4521000
2796,6.6,10,13800000,65000000,2894,2,0,5223362,18770,627,8620000
1401,5.5,9,59700000,22000000,3260,1,2,943306,3006,325,3185900
373,5.8,3,20200,6000000,27,1,0,2426078,9230,184,33500
885,7.3,8,44100000,13000000,18,1,20,4176181,9463,310,269849
380,6.1,1,89300000,48000000,21,3,6,1544390,2975,136,216000
727,4.8,8,84500000,20000000,3465,1,0,3429055,7682,675,727000
8533,5.9,1,191000000,125000000,3845,1,0,7908038,27312,3439,1260000
846,6.1,8,26000000,8000000,2809,1,0,6132551,14539,653,11783000
308,7.1,2,2590000,9500000,1586,1,3,134353,280,43,
864,6.8,1,203000000,200000000,4324,2,6,386857,4996,233,4520000
2928,6.9,3,924000,2000000,147,1,-3,6501107,14139,890,
1271,6.6,3,26800000,26000000,8,1,3,5546710,15351,535,48231
3229,7.3,12,50200000,50000000,12,1,9,5165441,17476,871,10364000
554,6.8,12,50800000,60000000,3464,1,5,2545852,3964,378,1280000
92,4.8,7,4240,7000000,,1,0,330363,406,52,
569,7.1,10,10700000,12600000,809,1,-1,2897407,5953,153,
1966,7.2,1,102000000,55000000,3236,1,0,7075635,15858,574,1800000
5005,6.1,1,39300000,90000000,90,3,0,14453673,33092,1336,1480000
38363,7.9,3,125000000,12000000,3173,1,7,32626778,370552,4752,4240000
1,7,8,2820000,,432,1,0,10747,4,1,818000
773,6.1,10,33600000,25000000,103,1,-2,4790221,4740,454,2740000
565,6.5,3,45100000,25000000,702,1,6,523457,2187,149,184100
564,7.4,3,2720000,20000000,461,1,10,1303646,3306,211,759800
1782,7.5,2,255000000,250000000,3875,6,3,3554189,14152,262,2613000
8,6.6,3,2430000,16000000,4,1,2,26528,58,1,25748
52,7.3,8,54200000,22000000,2023,1,11,24809,277,12,20700
1176,6.8,2,337000000,125000000,4151,3,2,3305417,14684,332,31030000
113,5,3,2820000,12000000,,1,0,309610,729,97,275873
1237,8.1,9,91100000,14000000,747,1,9,3047849,11748,253,
3430,6.7,1,6110000,44000000,78,1,0,6231191,13331,1265,6619435
378,7.5,10,47100000,50000000,3003,1,2,1325872,4829,104,5563500
456,4.2,1,18800000,70000000,2104,1,0,797229,1606,630,1174806
289,7.8,12,258000000,60000000,3775,1,-2,439159,1847,105,4690000
43,6.3,6,5980000,14000000,1841,1,2,381071,238,27,14586
2753,6.8,1,102000000,34000000,173,1,2,3156436,18124,213,4734000
0,6.1,3,78000000,70000000,3083,1,0,10649,21,1,3849
567,6.3,1,25000000,15000000,2776,1,0,1935432,3089,155,148000
554,5.8,12,64200000,42000000,3427,1,0,2269032,3046,546,
239,7.1,8,512000,100000,20,1,2,1223891,1309,148,226000
3479,6,8,83900000,40000000,3205,1,-1,8479994,35071,2233,2731000
882,6.5,1,71500000,9000000,2805,2,-3,1142295,3895,193,49424
2046,4.7,15,2750000,6500000,685,1,0,4092871,8781,794,420000
1,6.4,10,1110000,12250000,5,1,0,702,1,0,9842
58,6.8,3,5000,11712310.56,2,1,0,253631,170,11,
2104,7.8,9,35900000,15000000,15,1,8,3226251,18240,261,8204
2099,7.2,3,4190000,22500000,320,1,7,3281842,4968,445,1899400
9,4.9,3,26500000,1000000,2602,2,-6,698,16,1,3086
346,5.7,8,65200000,24000000,2225,2,0,2063089,5858,336,24388000
6811,6.3,3,23000000,100000000,3455,1,0,14141585,36646,1459,5987
230,5.8,1,245000000,210000000,4233,4,0,170909,791,362,2814900
380,5.4,8,1820000,2800000,449,1,0,473100,670,104,180100
3403,7.2,9,116000000,65000000,3131,1,0,6637551,19833,815,269000
232,6.8,10,3320000,6000000,291,1,10,476747,2079,166,2536000
82,6.6,3,30100000,15000000,794,1,0,280566,477,56,585000
2760,8.6,3,13100000,3300000,42,1,2,7750223,17541,631,858000
70,6.9,3,280000,2487820.27,2,1,11,166612,571,36,
1333,7.2,2,37900000,15000000,1061,1,0,5976092,9343,649,781200
429,8.2,8,3080000,3300000,4,1,7,697105,1023,39,
189,6.2,3,22500,60000000,2965,1,0,719976,1312,76,1810000
67,6.7,8,3590000,6000000,68,1,0,865690,1375,79,1818778
1,8.1,1,234000000,200000000,3996,7,3,2285,9,0,10280000
77,6.2,9,717000,12000000,2,1,0,550734,894,44,168700
5107,7.3,1,643000000,150000000,4274,4,1,9143740,34746,1074,6180000
3843,7.8,1,458000000,250000000,4276,2,21,10366624,31552,989,10070000
39,7.4,1,350000000,190000000,4004,7,-17,59056,330,8,11890000
496,8.6,12,345000000,175000000,3946,1,2,1438926,4632,262,232000
48,6.6,1,325000000,74000000,4301,2,-2,1341909,1607,764,250000
1987,6.7,8,183000000,29000000,3473,2,1,9214467,39824,998,7336000
1842,7.8,3,171000000,150000000,3956,5,3,8748596,20352,649,6605000
3426,6.7,8,177000000,135000000,3708,1,-2,10341783,24413,1675,5070000
9119,4.2,3,166000000,40000000,3646,1,9,31859569,49900,13960,946000
1281,6.1,8,162000000,74000000,3641,2,0,5536822,29411,1840,184000
7559,6.4,1,154000000,110000000,3777,1,3,12632836,36508,2210,9737600
1774,8.3,1,153000000,150000000,3702,4,-4,2732371,13030,497,768700
1560,8.3,9,135000000,28000000,2757,1,5,848970,12607,237,55618
66,6.4,2,130000000,110000000,3875,2,-6,2834800,5664,5746,4240000
1666,7.3,1,110000000,65000000,3711,1,0,6649290,20750,750,265000
2955,6.7,12,105000000,35000000,3158,1,1,9511288,19903,2581,2014000
250,6.6,12,93200000,190000000,3972,1,1,999867,4212,66,1198000
2395,6.1,8,90400000,40000000,3175,1,6,10078326,26565,1418,2939000
63,6.8,1,89400000,155000000,3758,5,1,84870,265,13,3877901
1767,6.6,8,81300000,68000000,3442,2,5,6711914,29903,984,10988000
892,4.3,1,71000000,30000000,90,2,15,2389347,8809,935,1618000
3717,5.6,1,71000000,88000000,3723,1,10,5340100,26134,2007,2466000
1579,6.2,8,65900000,14800000,3355,2,7,5128288,18475,858,8392000
755,6.7,8,64500000,23000000,3003,1,-8,4826940,10521,478,2284000
871,6.3,2,54900000,31000000,3411,5,13,2554327,10062,464,2347000
7139,4,1,52700000,120000000,3995,1,20,7560211,24168,3524,881000
2205,5,15,47400000,35000000,3240,1,-5,3651828,13998,969,1066
1668,5.5,1,47400000,176000000,3181,1,0,3920842,10535,565,7460000
3525,7.3,3,42500000,25000000,2991,1,11,11036701,50002,1005,776000
1842,7,1,41900000,20000000,2855,1,0,2947239,19201,625,2113
584,7.2,3,37400000,34000000,3366,1,19,2393017,13291,369,324925
1105,7.6,1,36100000,5000000,1648,1,11,2513544,6970,270,1655987
1499,4.6,6,35400000,4000000,2602,1,16,5588384,15144,913,4599000
1293,5,1,34500000,35000000,3003,1,2,6964819,26601,1111,1630000
4102,6.6,8,34000000,8500000,2575,1,2,12792898,56001,2083,6714000
7,7.4,10,33300000,11000000,258,1,19,6495,82,3,675000
634,7.1,3,32400000,30000000,3108,1,6,1841293,5879,314,788000
1087,6.9,3,31400000,12000000,3031,1,6,2854910,23254,459,4184000
2739,5.2,8,25800000,3300000,2666,1,7,4442147,10605,691,2007000
4360,5.5,1,19000000,10000000,2766,2,-38,11037833,36874,1885,5699
269,6.1,3,23500000,18000000,1603,1,25,638374,4018,130,1887
2787,6.4,8,22300000,12000000,2893,1,7,6646785,16041,955,253499
8578,5.9,8,16100000,35000000,3261,1,10,13154873,46684,3565,209000
28,7.5,8,16800000,700000,2002,1,2,50444,238,3,986572
31,5.1,8,12300000,14000000,2880,2,9,11496,194,9,1891977
189,6.5,1,10900000,28000000,2778,1,21,2996539,1874,32,155000
881,5.8,8,10600000,40000000,2816,1,3,3098749,4311,341,1520000
1276,5.5,8,7610000,60000000,2648,1,-2,3850758,13363,453,3045000
714,5.4,3,7100000,70000000,2567,1,4,2409338,6923,340,1334000
1298,8.2,8,6740000,8000000,34,1,15,4032265,18398,302,2208
772,4.5,15,1710000,8495000,420,1,-2,1364537,3824,689,3841
2468,5.6,3,131000,4500000,79,1,10,5085068,14359,600,3744000
14,7.3,3,129000,4000000,14,1,0,63724,115,28,129000
42,6.3,3,106000,1500000,22,1,14,44963,109,27,1188000
8359,7.8,1,169000000,130000000,3856,1,18,9597644,32558,2672,
4435,7.7,1,49500000,30000000,2772,1,6,11476882,40496,1383,
239,7.7,3,25400000,15000000,1255,1,3,419470,2218,46,
2300,7.6,6,34600000,75000000,3638,1,8,5216680,20010,500,
5262,7.1,8,201000000,95000000,3845,1,2,10164908,22726,4245,
3481,7,1,31600000,49000000,3201,1,8,7384182,23597,786,
700,6.9,8,444000,1900000,200,1,0,890619,6352,293,
1712,6.6,8,26400000,50000000,3171,1,3,5671767,10073,480,
247,6.6,1,33100000,10000000,1573,2,26,831044,2427,99,
1859,6.4,4,1210000,50000000,66,1,4,3701061,9325,641,
2290,5.5,15,21000000,37000000,2815,1,13,7119456,18803,1128,
409,5.4,8,10200000,35000000,2777,1,7,3450614,6823,325,
201,5.4,1,12300000,3000000,,1,10,66872,400,67,
606,4.4,15,22600000,100000,2720,1,-5,659772,2841,431,
