displacement,cylinders,horsepower,weight,acceleration,model-year,mpg
400,8,230,4278,9.5,73,16
68,4,49,1867,19.5,73,29
116,4,75,2158,15.5,73,24
114,4,91,2582,14,73,20
121,4,112,2868,15.5,73,19
318,8,150,3399,11,73,15
121,4,110,2660,14,73,24
156,6,122,2807,13.5,73,20
350,8,180,3664,11,73,11
198,6,95,3102,16.5,74,20
200,6,,2875,17,74,21
232,6,100,2901,16,74,19
250,6,100,3336,17,74,15
79,4,67,1950,19,74,31
122,4,80,2451,16.5,74,26
71,4,65,1836,21,74,32
140,4,75,2542,17,74,25
250,6,100,3781,17,74,16
258,6,110,3632,18,74,16
225,6,105,3613,16.5,74,18
302,8,140,4141,14,74,16
350,8,150,4699,14.5,74,13
318,8,150,4457,13.5,74,14
302,8,140,4638,16,74,14
304,8,150,4257,15.5,74,14
98,4,83,2219,16.5,74,29
79,4,67,1963,15.5,74,26
97,4,78,2300,14.5,74,26
76,4,52,1649,16.5,74,31
83,4,61,2003,19,74,32
90,4,75,2125,14.5,74,28
90,4,75,2108,15.5,74,24
116,4,75,2246,14,74,26
120,4,97,2489,15,74,24
108,4,93,2391,15.5,74,26
79,4,67,2000,16,74,31
225,6,95,3264,16,75,19
250,6,105,3459,16,75,18
250,6,72,3432,21,75,15
250,6,72,3158,19.5,75,15
400,8,170,4668,11.5,75,16
350,8,145,4440,14,75,15
318,8,150,4498,14.5,75,16
351,8,148,4657,13.5,75,14
231,6,110,3907,21,75,17
250,6,105,3897,18.5,75,16
258,6,110,3730,19,75,15
225,6,95,3785,19,75,18
231,6,110,3039,15,75,21
262,8,110,3221,13.5,75,20
302,8,129,3169,12,75,13
97,4,75,2171,16,75,29
140,4,83,2639,17,75,23
232,6,100,2914,16,75,20
140,4,78,2592,18.5,75,23
134,4,96,2702,13.5,75,24
90,4,71,2223,16.5,75,25
119,4,97,2545,17,75,24
171,6,97,2984,14.5,75,18
90,4,70,1937,14,75,29
232,6,90,3211,17,75,19
115,4,95,2694,15,75,23
120,4,88,2957,17,75,23
121,4,98,2945,14.5,75,22
121,4,115,2671,13.5,75,25
91,4,53,1795,17.5,75,33
107,4,86,2464,15.5,76,28
116,4,81,2220,16.9,76,25
140,4,92,2572,14.9,76,25
98,4,79,2255,17.7,76,26
101,4,83,2202,15.3,76,27
305,8,140,4215,13,76,17.5
318,8,150,4190,13,76,16
304,8,120,3962,13.9,76,15.5
351,8,152,4215,12.8,76,14.5
225,6,100,3233,15.4,76,22
250,6,105,3353,14.5,76,22
200,6,81,3012,17.6,76,24
232,6,90,3085,17.6,76,22.5
85,4,52,2035,22.2,76,29
98,4,60,2164,22.1,76,24.5
90,4,70,1937,14.2,76,29
91,4,53,1795,17.4,76,33
225,6,100,3651,17.7,76,20
250,6,78,3574,21,76,18
250,6,110,3645,16.2,76,18.5
258,6,95,3193,17.8,76,17.5
97,4,71,1825,12.2,76,29.5
85,4,70,1990,17,76,32
97,4,75,2155,16.4,76,28
140,4,72,2565,13.6,76,26.5
130,4,102,3150,15.7,76,20
318,8,150,3940,13.2,76,13
120,4,88,3270,21.9,76,19
156,6,108,2930,15.5,76,19
168,6,120,3820,16.7,76,16.5
350,8,180,4380,12.1,76,16.5
350,8,145,4055,12,76,13
302,8,130,3870,15,76,13
318,8,150,3755,14,76,13
98,4,68,2045,18.5,77,31.5
111,4,80,2155,14.8,77,30
79,4,58,1825,18.6,77,36
122,4,96,2300,15.5,77,25.5
85,4,70,1945,16.8,77,33.5
305,8,145,3880,12.5,77,17.5
260,8,110,4060,19,77,17
318,8,145,4140,13.7,77,15.5
302,8,130,4295,14.9,77,15
250,6,110,3520,16.4,77,17.5
231,6,105,3425,16.9,77,20.5
225,6,100,3630,17.7,77,19
250,6,98,3525,19,77,18.5
400,8,180,4220,11.1,77,16
350,8,170,4165,11.4,77,15.5
400,8,190,4325,12.2,77,15.5
351,8,149,4335,14.5,77,16
97,4,78,1940,14.5,77,29
151,4,88,2740,16,77,24.5
97,4,75,2265,18.2,77,26
140,4,89,2755,15.8,77,25.5
98,4,63,2051,17,77,30.5
98,4,83,2075,15.9,77,33.5
97,4,67,1985,16.4,77,30
97,4,78,2190,14.1,77,30.5
146,6,97,2815,14.5,77,22
121,4,110,2600,12.8,77,21.5
80,3,110,2720,13.5,77,21.5
90,4,48,1985,21.5,78,43.1
98,4,66,1800,14.4,78,36.1
78,4,52,1985,19.4,78,32.8
85,4,70,2070,18.6,78,39.4
91,4,60,1800,16.4,78,36.1
260,8,110,3365,15.5,78,19.9
318,8,140,3735,13.2,78,19.4
302,8,139,3570,12.8,78,20.2
231,6,105,3535,19.2,78,19.2
200,6,95,3155,18.2,78,20.5
200,6,85,2965,15.8,78,20.2
140,4,88,2720,15.4,78,25.1
225,6,100,3430,17.2,78,20.5
232,6,90,3210,17.2,78,19.4
231,6,105,3380,15.8,78,20.6
200,6,85,3070,16.7,78,20.8
225,6,110,3620,18.7,78,18.6
258,6,120,3410,15.1,78,18.1
305,8,145,3425,13.2,78,19.2
231,6,165,3445,13.4,78,17.7
302,8,139,3205,11.2,78,18.1
318,8,140,4080,13.7,78,17.5
98,4,68,2155,16.5,78,30
134,4,95,2560,14.2,78,27.5
119,4,97,2300,14.7,78,27.2
105,4,75,2230,14.5,78,30.9
134,4,95,2515,14.8,78,21.1
156,4,105,2745,16.7,78,23.2
151,4,85,2855,17.6,78,23.8
119,4,97,2405,14.9,78,23.9
131,5,103,2830,15.9,78,20.3
163,6,125,3140,13.6,78,17
121,4,115,2795,15.7,78,21.6
163,6,133,3410,15.8,78,16.2
89,4,71,1990,14.9,78,31.5
98,4,68,2135,16.6,78,29.5
231,6,115,3245,15.4,79,21.5
200,6,85,2990,18.2,79,19.8
140,4,88,2890,17.3,79,22.3
232,6,90,3265,18.2,79,20.2
225,6,110,3360,16.6,79,20.6
305,8,130,3840,15.4,79,17
302,8,129,3725,13.4,79,17.6
351,8,138,3955,13.2,79,16.5
318,8,135,3830,15.2,79,18.2
350,8,155,4360,14.9,79,16.9
351,8,142,4054,14.3,79,15.5
267,8,125,3605,15,79,19.2
360,8,150,3940,13,79,18.5
89,4,71,1925,14,79,31.9
86,4,65,1975,15.2,79,34.1
98,4,80,1915,14.4,79,35.7
121,4,80,2670,15,79,27.4
183,5,77,3530,20.1,79,25.4
350,8,125,3900,17.4,79,23
141,4,71,3190,24.8,79,27.2
260,8,90,3420,22.2,79,23.9
105,4,70,2200,13.2,79,34.2
105,4,70,2150,14.9,79,34.5
85,4,65,2020,19.2,79,31.8
91,4,69,2130,14.7,79,37.3
151,4,90,2670,16,79,28.4
173,6,115,2595,11.3,79,28.8
173,6,115,2700,12.9,79,26.8
151,4,90,2556,13.2,79,33.5
98,4,76,2144,14.7,80,41.5
89,4,60,1968,18.8,80,38.1
98,4,70,2120,15.5,80,32.1
86,4,65,2019,16.4,80,37.2
151,4,90,2678,16.5,80,28
140,4,88,2870,18.1,80,26.4
151,4,90,3003,20.1,80,24.3
225,6,90,3381,18.7,80,19.1
97,4,78,2188,15.8,80,34.3
134,4,90,2711,15.5,80,29.8
120,4,75,2542,17.5,80,31.3
119,4,92,2434,15,80,37
108,4,75,2265,15.2,80,32.2
86,4,65,2110,17.9,80,46.6
156,4,105,2800,14.4,80,27.9
85,4,65,2110,19.2,80,40.8
90,4,48,2085,21.7,80,44.3
90,4,48,2335,23.7,80,43.4
121,5,67,2950,19.9,80,36.4
146,4,67,3250,21.8,80,30
91,4,67,1850,13.8,80,44.6
85,4,67,1835,17.3,80,40.9
97,4,67,2145,18,80,33.8
89,4,62,1845,15.3,80,29.8
168,6,132,2910,11.4,80,32.7
70,3,100,2420,12.5,80,23.7
122,4,88,2500,15.1,80,35
140,4,80,2905,14.3,80,23.6
107,4,72,2290,17,80,32.4
135,4,84,2490,15.7,81,27.2
151,4,84,2635,16.4,81,26.6
156,4,92,2620,14.4,81,25.8
173,6,110,2725,12.6,81,23.5
135,4,84,2385,12.9,81,30
79,4,58,1755,16.9,81,39.1
86,4,64,1875,16.4,81,39
81,4,60,1760,16.1,81,35.1
97,4,67,2065,17.8,81,32.3
85,4,65,1975,19.4,81,37
89,4,62,2050,17.3,81,37.7
91,4,68,1985,16,81,34.1
105,4,63,2215,14.9,81,34.7
98,4,65,2045,16.2,81,34.4
98,4,65,2380,20.7,81,29.9
105,4,74,2190,14.2,81,33
100,4,75,2320,15.8,81,34.5
107,4,75,2210,14.4,81,33.7
108,4,75,2350,16.8,81,32.4
119,4,100,2615,14.8,81,32.9
120,4,74,2635,18.3,81,31.6
141,4,80,3230,20.4,81,28.1
145,6,76,3160,19.6,81,30.7
168,6,116,2900,12.6,81,25.4
146,6,120,2930,13.8,81,24.2
231,6,110,3415,15.8,81,22.4
350,8,105,3725,19,81,26.6
200,6,88,3060,17.1,81,20.2
225,6,85,3465,16.6,81,17.6
112,4,88,2605,19.6,82,28
112,4,88,2640,18.6,82,27
112,4,88,2395,18,82,34
112,4,85,2575,16.2,82,31
135,4,84,2525,16,82,29
151,4,90,2735,18,82,27
140,4,92,2865,16.4,82,24
151,4,85,3035,20.5,82,23
105,4,74,1980,15.3,82,36
91,4,68,2025,18.2,82,37
91,4,68,1970,17.6,82,31
105,4,63,2125,14.7,82,38
98,4,70,2125,17.3,82,36
120,4,88,2160,14.5,82,36
107,4,75,2205,14.5,82,36
108,4,70,2245,16.9,82,34
91,4,67,1965,15,82,38
91,4,67,1965,15.7,82,32
91,4,67,1995,16.2,82,38
181,6,110,2945,16.4,82,25
262,6,85,3015,17,82,38
156,4,92,2585,14.5,82,26
232,6,112,2835,14.7,82,22
144,4,96,2665,13.9,82,32
135,4,84,2370,13,82,36
151,4,90,2950,17.3,82,27
140,4,86,2790,15.6,82,27
97,4,52,2130,24.6,82,44
135,4,84,2295,11.6,82,32
120,4,79,2625,18.6,82,28
119,4,82,2720,19.4,82,31
