a,b,c,d,e,f
1.97,0.25,0.564,5.1,3.95,3.53
2.83,0.275,0.564,5.1,3.95,3.53
3.99,0.3,0.564,5.1,3.95,3.53
5.19,0.325,0.564,5.1,3.95,3.53
8.03,0.35,0.564,5.1,3.95,3.53
12.86,0.375,0.564,5.1,3.95,3.53
21.51,0.4,0.564,5.1,3.95,3.53
33.97,0.425,0.564,5.1,3.95,3.53
50.36,0.45,0.564,5.1,3.95,3.53
0.2,0.125,0.574,4.36,3.96,2.76
0.35,0.15,0.574,4.36,3.96,2.76
0.65,0.175,0.574,4.36,3.96,2.76
0.93,0.2,0.574,4.36,3.96,2.76
1.37,0.225,0.574,4.36,3.96,2.76
1.97,0.25,0.574,4.36,3.96,2.76
2.83,0.275,0.574,4.36,3.96,2.76
3.99,0.3,0.574,4.36,3.96,2.76
5.19,0.325,0.574,4.36,3.96,2.76
8.03,0.35,0.574,4.36,3.96,2.76
12.86,0.375,0.574,4.36,3.96,2.76
21.51,0.4,0.574,4.36,3.96,2.76
33.97,0.425,0.574,4.36,3.96,2.76
50.36,0.45,0.574,4.36,3.96,2.76
0.12,0.125,0.568,4.34,2.98,3.15
0.26,0.15,0.568,4.34,2.98,3.15
0.43,0.175,0.568,4.34,2.98,3.15
0.69,0.2,0.568,4.34,2.98,3.15
1.09,0.225,0.568,4.34,2.98,3.15
1.67,0.25,0.568,4.34,2.98,3.15
2.46,0.275,0.568,4.34,2.98,3.15
3.43,0.3,0.568,4.34,2.98,3.15
4.62,0.325,0.568,4.34,2.98,3.15
6.86,0.35,0.568,4.34,2.98,3.15
11.56,0.375,0.568,4.34,2.98,3.15
20.63,0.4,0.568,4.34,2.98,3.15
34.5,0.425,0.568,4.34,2.98,3.15
54.23,0.45,0.568,4.34,2.98,3.15
0.28,0.125,0.562,5.14,4.95,3.17
0.44,0.15,0.562,5.14,4.95,3.17
0.7,0.175,0.562,5.14,4.95,3.17
1.07,0.2,0.562,5.14,4.95,3.17
1.57,0.225,0.562,5.14,4.95,3.17
2.23,0.25,0.562,5.14,4.95,3.17
3.09,0.275,0.562,5.14,4.95,3.17
4.09,0.3,0.562,5.14,4.95,3.17
5.82,0.325,0.562,5.14,4.95,3.17
8.28,0.35,0.562,5.14,4.95,3.17
12.8,0.375,0.562,5.14,4.95,3.17
20.41,0.4,0.562,5.14,4.95,3.17
32.34,0.425,0.562,5.14,4.95,3.17
47.29,0.45,0.562,5.14,4.95,3.17
0.2,0.125,0.585,4.78,3.84,3.32
0.38,0.15,0.585,4.78,3.84,3.32
0.64,0.175,0.585,4.78,3.84,3.32
0.97,0.2,0.585,4.78,3.84,3.32
1.36,0.225,0.585,4.78,3.84,3.32
1.98,0.25,0.585,4.78,3.84,3.32
2.91,0.275,0.585,4.78,3.84,3.32
4.35,0.3,0.585,4.78,3.84,3.32
5.79,0.325,0.585,4.78,3.84,3.32
8.04,0.35,0.585,4.78,3.84,3.32
12.15,0.375,0.585,4.78,3.84,3.32
19.18,0.4,0.585,4.78,3.84,3.32
30.09,0.425,0.585,4.78,3.84,3.32
44.38,0.45,0.585,4.78,3.84,3.32
0.15,0.125,0.546,4.78,4.13,3.07
0.32,0.15,0.546,4.78,4.13,3.07
0.55,0.175,0.546,4.78,4.13,3.07
0.86,0.2,0.546,4.78,4.13,3.07
1.24,0.225,0.546,4.78,4.13,3.07
1.76,0.25,0.546,4.78,4.13,3.07
2.49,0.275,0.546,4.78,4.13,3.07
3.45,0.3,0.546,4.78,4.13,3.07
4.83,0.325,0.546,4.78,4.13,3.07
7.37,0.35,0.546,4.78,4.13,3.07
12.76,0.375,0.546,4.78,4.13,3.07
21.99,0.4,0.546,4.78,4.13,3.07
35.64,0.425,0.546,4.78,4.13,3.07
53.07,0.45,0.546,4.78,4.13,3.07
0.11,0.125,0.565,4.77,3.99,3.15
0.24,0.15,0.565,4.77,3.99,3.15
0.49,0.175,0.565,4.77,3.99,3.15
0.79,0.2,0.565,4.77,3.99,3.15
1.28,0.225,0.565,4.77,3.99,3.15
1.96,0.25,0.565,4.77,3.99,3.15
2.88,0.275,0.565,4.77,3.99,3.15
4.14,0.3,0.565,4.77,3.99,3.15
5.96,0.325,0.565,4.77,3.99,3.15
9.07,0.35,0.565,4.77,3.99,3.15
14.93,0.375,0.565,4.77,3.99,3.15
24.13,0.4,0.565,4.77,3.99,3.15
38.12,0.425,0.565,4.77,3.99,3.15
55.44,0.45,0.565,4.77,3.99,3.15
0.07,0.125,0.565,4.77,3.99,3.15
0.18,0.15,0.565,4.77,3.99,3.15
0.4,0.175,0.565,4.77,3.99,3.15
0.7,0.2,0.565,4.77,3.99,3.15
1.14,0.225,0.565,4.77,3.99,3.15
1.83,0.25,0.565,4.77,3.99,3.15
2.77,0.275,0.565,4.77,3.99,3.15
4.12,0.3,0.565,4.77,3.99,3.15
5.41,0.325,0.565,4.77,3.99,3.15
7.87,0.35,0.565,4.77,3.99,3.15
12.71,0.375,0.565,4.77,3.99,3.15
21.02,0.4,0.565,4.77,3.99,3.15
34.58,0.425,0.565,4.77,3.99,3.15
51.77,0.45,0.565,4.77,3.99,3.15
0.08,0.125,0.565,5.1,3.94,3.51
0.26,0.15,0.565,5.1,3.94,3.51
0.5,0.175,0.565,5.1,3.94,3.51
0.83,0.2,0.565,5.1,3.94,3.51
1.28,0.225,0.565,5.1,3.94,3.51
1.9,0.25,0.565,5.1,3.94,3.51
2.68,0.275,0.565,5.1,3.94,3.51
3.76,0.3,0.565,5.1,3.94,3.51
5.57,0.325,0.565,5.1,3.94,3.51
8.76,0.35,0.565,5.1,3.94,3.51
14.24,0.375,0.565,5.1,3.94,3.51
23.05,0.4,0.565,5.1,3.94,3.51
35.46,0.425,0.565,5.1,3.94,3.51
51.99,0.45,0.565,5.1,3.94,3.51
0.08,0.125,0.565,5.1,3.94,3.51
0.24,0.15,0.565,5.1,3.94,3.51
0.45,0.175,0.565,5.1,3.94,3.51
0.77,0.2,0.565,5.1,3.94,3.51
1.19,0.225,0.565,5.1,3.94,3.51
1.76,0.25,0.565,5.1,3.94,3.51
2.59,0.275,0.565,5.1,3.94,3.51
3.85,0.3,0.565,5.1,3.94,3.51
5.27,0.325,0.565,5.1,3.94,3.51
7.74,0.35,0.565,5.1,3.94,3.51
12.4,0.375,0.565,5.1,3.94,3.51
20.91,0.4,0.565,5.1,3.94,3.51
33.23,0.425,0.565,5.1,3.94,3.51
49.14,0.45,0.565,5.1,3.94,3.51
0.08,0.125,0.53,5.11,3.69,3.51
0.25,0.15,0.53,5.11,3.69,3.51
0.46,0.175,0.53,5.11,3.69,3.51
0.75,0.2,0.53,5.11,3.69,3.51
1.11,0.225,0.53,5.11,3.69,3.51
1.57,0.25,0.53,5.11,3.69,3.51
2.17,0.275,0.53,5.11,3.69,3.51
2.98,0.3,0.53,5.11,3.69,3.51
4.42,0.325,0.53,5.11,3.69,3.51
7.84,0.35,0.53,5.11,3.69,3.51
14.11,0.375,0.53,5.11,3.69,3.51
24.14,0.4,0.53,5.11,3.69,3.51
37.95,0.425,0.53,5.11,3.69,3.51
55.17,0.45,0.53,5.11,3.69,3.51
0.1,0.125,0.53,4.76,3.68,3.16
0.23,0.15,0.53,4.76,3.68,3.16
0.47,0.175,0.53,4.76,3.68,3.16
0.76,0.2,0.53,4.76,3.68,3.16
1.15,0.225,0.53,4.76,3.68,3.16
1.65,0.25,0.53,4.76,3.68,3.16
2.28,0.275,0.53,4.76,3.68,3.16
3.09,0.3,0.53,4.76,3.68,3.16
4.41,0.325,0.53,4.76,3.68,3.16
7.51,0.35,0.53,4.76,3.68,3.16
13.77,0.375,0.53,4.76,3.68,3.16
23.96,0.4,0.53,4.76,3.68,3.16
37.38,0.425,0.53,4.76,3.68,3.16
56.46,0.45,0.53,4.76,3.68,3.16
0.05,0.125,0.53,4.34,2.81,3.15
0.17,0.15,0.53,4.34,2.81,3.15
0.35,0.175,0.53,4.34,2.81,3.15
0.63,0.2,0.53,4.34,2.81,3.15
1.01,0.225,0.53,4.34,2.81,3.15
1.43,0.25,0.53,4.34,2.81,3.15
2.05,0.275,0.53,4.34,2.81,3.15
2.73,0.3,0.53,4.34,2.81,3.15
3.87,0.325,0.53,4.34,2.81,3.15
7.19,0.35,0.53,4.34,2.81,3.15
13.96,0.375,0.53,4.34,2.81,3.15
25.18,0.4,0.53,4.34,2.81,3.15
41.34,0.425,0.53,4.34,2.81,3.15
62.42,0.45,0.53,4.34,2.81,3.15
0.03,0.125,0.6,4.78,4.24,3.15
0.18,0.15,0.6,4.78,4.24,3.15
0.4,0.175,0.6,4.78,4.24,3.15
0.73,0.2,0.6,4.78,4.24,3.15
1.3,0.225,0.6,4.78,4.24,3.15
2.16,0.25,0.6,4.78,4.24,3.15
3.35,0.275,0.6,4.78,4.24,3.15
5.06,0.3,0.6,4.78,4.24,3.15
7.14,0.325,0.6,4.78,4.24,3.15
10.36,0.35,0.6,4.78,4.24,3.15
15.25,0.375,0.6,4.78,4.24,3.15
23.15,0.4,0.6,4.78,4.24,3.15
34.62,0.425,0.6,4.78,4.24,3.15
51.5,0.45,0.6,4.78,4.24,3.15
0.06,0.125,0.6,4.78,4.24,3.15
0.15,0.15,0.6,4.78,4.24,3.15
0.34,0.175,0.6,4.78,4.24,3.15
0.63,0.2,0.6,4.78,4.24,3.15
1.13,0.225,0.6,4.78,4.24,3.15
1.85,0.25,0.6,4.78,4.24,3.15
2.84,0.275,0.6,4.78,4.24,3.15
4.34,0.3,0.6,4.78,4.24,3.15
6.2,0.325,0.6,4.78,4.24,3.15
8.62,0.35,0.6,4.78,4.24,3.15
12.49,0.375,0.6,4.78,4.24,3.15
20.41,0.4,0.6,4.78,4.24,3.15
32.46,0.425,0.6,4.78,4.24,3.15
50.94,0.45,0.6,4.78,4.24,3.15
0.16,0.125,0.53,4.78,3.75,3.15
0.32,0.15,0.53,4.78,3.75,3.15
0.59,0.175,0.53,4.78,3.75,3.15
0.92,0.2,0.53,4.78,3.75,3.15
1.37,0.225,0.53,4.78,3.75,3.15
1.94,0.25,0.53,4.78,3.75,3.15
2.62,0.275,0.53,4.78,3.75,3.15
3.7,0.3,0.53,4.78,3.75,3.15
5.45,0.325,0.53,4.78,3.75,3.15
9.45,0.35,0.53,4.78,3.75,3.15
16.31,0.375,0.53,4.78,3.75,3.15
27.34,0.4,0.53,4.78,3.75,3.15
41.77,0.425,0.53,4.78,3.75,3.15
60.85,0.45,0.53,4.78,3.75,3.15
0.09,0.125,0.53,4.78,3.75,3.15
0.24,0.15,0.53,4.78,3.75,3.15
0.47,0.175,0.53,4.78,3.75,3.15
0.78,0.2,0.53,4.78,3.75,3.15
1.21,0.225,0.53,4.78,3.75,3.15
1.85,0.25,0.53,4.78,3.75,3.15
2.62,0.275,0.53,4.78,3.75,3.15
3.69,0.3,0.53,4.78,3.75,3.15
5.07,0.325,0.53,4.78,3.75,3.15
7.95,0.35,0.53,4.78,3.75,3.15
13.73,0.375,0.53,4.78,3.75,3.15
23.55,0.4,0.53,4.78,3.75,3.15
37.14,0.425,0.53,4.78,3.75,3.15
55.87,0.45,0.53,4.78,3.75,3.15
0.01,0.125,0.6,5.1,4.17,3.51
0.16,0.15,0.6,5.1,4.17,3.51
0.39,0.175,0.6,5.1,4.17,3.51
0.73,0.2,0.6,5.1,4.17,3.51
1.24,0.225,0.6,5.1,4.17,3.51
1.96,0.25,0.6,5.1,4.17,3.51
3.04,0.275,0.6,5.1,4.17,3.51
4.46,0.3,0.6,5.1,4.17,3.51
6.31,0.325,0.6,5.1,4.17,3.51
8.68,0.35,0.6,5.1,4.17,3.51
12.39,0.375,0.6,5.1,4.17,3.51
20.14,0.4,0.6,5.1,4.17,3.51
31.77,0.425,0.6,5.1,4.17,3.51
47.13,0.45,0.6,5.1,4.17,3.51
0.04,0.125,0.6,4.34,4.23,2.73
0.17,0.15,0.6,4.34,4.23,2.73
0.36,0.175,0.6,4.34,4.23,2.73
0.64,0.2,0.6,4.34,4.23,2.73
1.02,0.225,0.6,4.34,4.23,2.73
1.62,0.25,0.6,4.34,4.23,2.73
2.63,0.275,0.6,4.34,4.23,2.73
4.15,0.3,0.6,4.34,4.23,2.73
6,0.325,0.6,4.34,4.23,2.73
8.47,0.35,0.6,4.34,4.23,2.73
12.27,0.375,0.6,4.34,4.23,2.73
19.59,0.4,0.6,4.34,4.23,2.73
30.48,0.425,0.6,4.34,4.23,2.73
46.66,0.45,0.6,4.34,4.23,2.73
